N = 61960, log(prod) = 4.45e-308 x 2^-88000, diff 0.02696
N = 62634, log(prod) = 4.15e-308 x 2^-89000, diff 0.02637
N = 63336, log(prod) = 6.85e-308 x 2^-90000, diff 0.02621
N = 64028, log(prod) = 6.83e-308 x 2^-91000, diff 0.02591
N = 64669, log(prod) = 5.27e-308 x 2^-92000, diff 0.02485
N = 65393, log(prod) = 4.07e-308 x 2^-93000, diff 0.02505
N = 66070, log(prod) = 7.04e-308 x 2^-94000, diff 0.02454
N = 66766, log(prod) = 8.75e-308 x 2^-95000, diff 0.02432
N = 67476, log(prod) = 6.95e-308 x 2^-96000, diff 0.02432
N = 68194, log(prod) = 5.11e-308 x 2^-97000, diff 0.02443
N = 68874, log(prod) = 1.08e-309 x 2^-98000, diff 0.02406
N = 69602, log(prod) = 8.37e-308 x 2^-99000, diff 0.02424
N = 70318, log(prod) = 3.61e-308 x 2^-100000, diff 0.02434
N = 70977, log(prod) = 8.51e-308 x 2^-101000, diff 0.02362
N = 71697, log(prod) = 7.90e-308 x 2^-102000, diff 0.02375
N = 72407, log(prod) = 7.38e-308 x 2^-103000, diff 0.02376
N = 73102, log(prod) = 3.60e-308 x 2^-104000, diff 0.02356
N = 73796, log(prod) = 1.48e-308 x 2^-105000, diff 0.02337
N = 74500, log(prod) = 6.12e-308 x 2^-106000, diff 0.02327
N = 75215, log(prod) = 1.30e-308 x 2^-107000, diff 0.02336
N = 75894, log(prod) = 5.33e-308 x 2^-108000, diff 0.02295
N = 76563, log(prod) = 3.84e-308 x 2^-109000, diff 0.02244
N = 77261, log(prod) = 1.74e-308 x 2^-110000, diff 0.02231
N = 77969, log(prod) = 6.18e-308 x 2^-111000, diff 0.02228
N = 78654, log(prod) = 1.41e-308 x 2^-112000, diff 0.02200
N = 79361, log(prod) = 1.04e-308 x 2^-113000, diff 0.02198
N = 80060, log(prod) = 2.93e-308 x 2^-114000, diff 0.02185
N = 80722, log(prod) = 7.69e-308 x 2^-115000, diff 0.02127
N = 81393, log(prod) = 6.37e-308 x 2^-116000, diff 0.02083
N = 82074, log(prod) = 5.64e-308 x 2^-117000, diff 0.02051
N = 82742, log(prod) = 6.26e-308 x 2^-118000, diff 0.02004
N = 83439, log(prod) = 5.85e-308 x 2^-119000, diff 0.01992
N = 84076, log(prod) = 6.77e-308 x 2^-120000, diff 0.01910
N = 84758, log(prod) = 3.88e-308 x 2^-121000, diff 0.01882
N = 85457, log(prod) = 2.01e-308 x 2^-122000, diff 0.01874
N = 86121, log(prod) = 7.70e-308 x 2^-123000, diff 0.01824
N = 86850, log(prod) = 6.76e-308 x 2^-124000, diff 0.01850
N = 87549, log(prod) = 6.62e-308 x 2^-125000, diff 0.01842
N = 88226, log(prod) = 1.42e-310 x 2^-126000, diff 0.01817
N = 88913, log(prod) = 4.85e-308 x 2^-127000, diff 0.01789
N = 89638, log(prod) = 4.99e-308 x 2^-128000, diff 0.01810
N = 90322, log(prod) = 7.12e-308 x 2^-129000, diff 0.01786
N = 91001, log(prod) = 8.21e-308 x 2^-130000, diff 0.01757
N = 91720, log(prod) = 7.13e-308 x 2^-131000, diff 0.01772
N = 92405, log(prod) = 2.69e-308 x 2^-132000, diff 0.01751
N = 93128, log(prod) = 5.37e-308 x 2^-133000, diff 0.01768
N = 93838, log(prod) = 2.10e-308 x 2^-134000, diff 0.01774
N = 94516, log(prod) = 5.15e-309 x 2^-135000, diff 0.01747
N = 95243, log(prod) = 1.95e-308 x 2^-136000, diff 0.01768
N = 95918, log(prod) = 5.19e-308 x 2^-137000, diff 0.01735
N = 96622, log(prod) = 5.04e-308 x 2^-138000, diff 0.01734
N = 97327, log(prod) = 7.66e-309 x 2^-139000, diff 0.01735
